"","geocode","date","time","suspects","refuses","confirmado","deads","local","cases","comments","broadcast","deaths","uadm"
"1",23,"2020-01-30","16:00",1,0,0,0,"0",0,"0","0",0,"Ceará"
"2",31,"2020-01-30","16:00",1,0,0,0,"0",0,"0","0",0,"Minas Gerais"
"3",33,"2020-01-30","16:00",1,0,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"4",35,"2020-01-30","16:00",3,1,0,0,"0",0,"0","0",0,"São Paulo"
"5",41,"2020-01-30","16:00",1,1,0,0,"0",0,"0","0",0,"Paraná"
"6",42,"2020-01-30","16:00",0,2,0,0,"0",0,"0","0",0,"Santa Catarina"
"7",43,"2020-01-30","16:00",2,2,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"8",23,"2020-01-31","12:00",1,0,0,0,"0",0,"0","0",0,"Ceará"
"9",31,"2020-01-31","12:00",1,0,0,0,"0",0,"0","0",0,"Minas Gerais"
"10",33,"2020-01-31","12:00",0,1,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"11",35,"2020-01-31","12:00",7,2,0,0,"0",0,"0","0",0,"São Paulo"
"12",41,"2020-01-31","12:00",1,1,0,0,"0",0,"0","0",0,"Paraná"
"13",42,"2020-01-31","12:00",1,2,0,0,"0",0,"0","0",0,"Santa Catarina"
"14",43,"2020-01-31","12:00",2,3,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"15",23,"2020-02-01","12:00",1,0,0,0,"0",0,"0","0",0,"Ceará"
"16",31,"2020-02-01","12:00",0,1,0,0,"0",0,"0","0",0,"Minas Gerais"
"17",33,"2020-02-01","12:00",0,1,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"18",35,"2020-02-01","12:00",8,2,0,0,"0",0,"0","0",0,"São Paulo"
"19",41,"2020-02-01","12:00",1,1,0,0,"0",0,"0","0",0,"Paraná"
"20",42,"2020-02-01","12:00",2,2,0,0,"0",0,"0","0",0,"Santa Catarina"
"21",43,"2020-02-01","12:00",4,3,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"22",23,"2020-02-02","12:00",1,0,0,0,"0",0,"0","0",0,"Ceará"
"23",31,"2020-02-02","12:00",0,1,0,0,"0",0,"0","0",0,"Minas Gerais"
"24",33,"2020-02-02","12:00",0,1,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"25",35,"2020-02-02","12:00",8,2,0,0,"0",0,"0","0",0,"São Paulo"
"26",41,"2020-02-02","12:00",1,1,0,0,"0",0,"0","0",0,"Paraná"
"27",42,"2020-02-02","12:00",2,2,0,0,"0",0,"0","0",0,"Santa Catarina"
"28",43,"2020-02-02","12:00",4,3,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"29",23,"2020-02-03","16:00",0,1,0,0,"0",0,"0","0",0,"Ceará"
"30",31,"2020-02-03","16:00",0,1,0,0,"0",0,"0","0",0,"Minas Gerais"
"31",33,"2020-02-03","16:00",1,1,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"32",35,"2020-02-03","16:00",7,3,0,0,"0",0,"0","0",0,"São Paulo"
"33",41,"2020-02-03","16:00",0,2,0,0,"0",0,"0","0",0,"Paraná"
"34",42,"2020-02-03","16:00",2,2,0,0,"0",0,"0","0",0,"Santa Catarina"
"35",43,"2020-02-03","16:00",4,3,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"36",23,"2020-02-04","15:00",0,1,0,0,"0",0,"0","0",0,"Ceará"
"37",31,"2020-02-04","15:00",0,1,0,0,"0",0,"0","0",0,"Minas Gerais"
"38",33,"2020-02-04","15:00",1,2,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"39",35,"2020-02-04","15:00",6,5,0,0,"0",0,"0","0",0,"São Paulo"
"40",41,"2020-02-04","15:00",0,2,0,0,"0",0,"0","0",0,"Paraná"
"41",42,"2020-02-04","15:00",2,2,0,0,"0",0,"0","0",0,"Santa Catarina"
"42",43,"2020-02-04","15:00",4,3,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"43",23,"2020-02-05","12:00",0,1,0,0,"0",0,"0","0",0,"Ceará"
"44",31,"2020-02-05","12:00",0,1,0,0,"0",0,"0","0",0,"Minas Gerais"
"45",33,"2020-02-05","12:00",1,2,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"46",35,"2020-02-05","12:00",4,9,0,0,"0",0,"0","0",0,"São Paulo"
"47",41,"2020-02-05","12:00",0,2,0,0,"0",0,"0","0",0,"Paraná"
"48",42,"2020-02-05","12:00",1,3,0,0,"0",0,"0","0",0,"Santa Catarina"
"49",43,"2020-02-05","12:00",5,3,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"50",23,"2020-02-06","15:30",0,1,0,0,"0",0,"0","0",0,"Ceará"
"51",23,"2020-02-06","15:30",0,1,0,0,"0",0,"0","0",0,"Ceará"
"52",31,"2020-02-06","15:30",1,1,0,0,"0",0,"0","0",0,"Minas Gerais"
"53",31,"2020-02-06","15:30",1,1,0,0,"0",0,"0","0",0,"Minas Gerais"
